마산항 ( 경상남도 창원시 성산구 적현로 424 (귀곡동) ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-26:10,보통,50,보통,31,좋음,0.0118,보통,0.0422,좋음,0.56,좋음,0.0042
2024-04-26:09,보통,36,보통,22,좋음,0.0118,보통,0.0354,좋음,0.44,좋음,0.0029
2024-04-26:08,보통,46,보통,33,좋음,0.0066,보통,0.0391,좋음,0.57,좋음,0.0025
2024-04-26:07,보통,39,보통,22,좋음,0.0075,보통,0.0366,좋음,0.54,좋음,0.0023
2024-04-26:06,보통,38,보통,33,좋음,0.0040,보통,0.0395,좋음,0.82,좋음,0.0024
2024-04-26:05,보통,66,보통,35,좋음,0.0039,보통,0.0422,좋음,1.06,좋음,0.0030
2024-04-26:04,보통,44,보통,35,좋음,0.0054,보통,0.0376,좋음,0.96,좋음,0.0023
2024-04-26:03,보통,39,보통,24,좋음,0.0175,좋음,0.0230,좋음,0.57,좋음,0.0020
2024-04-26:02,보통,31,보통,27,좋음,0.0146,보통,0.0306,좋음,0.63,좋음,0.0021
2024-04-26:01,보통,36,보통,33,좋음,0.0055,보통,0.0480,좋음,0.86,좋음,0.0026
2024-04-25:24,좋음,27,보통,21,좋음,0.0165,보통,0.0349,좋음,0.59,좋음,0.0018
2024-04-25:23,보통,32,보통,19,좋음,0.0287,좋음,0.0239,좋음,0.70,좋음,0.0021
2024-04-25:22,보통,36,보통,17,보통,0.0329,좋음,0.0277,좋음,0.46,좋음,0.0024
2024-04-25:21,보통,36,보통,21,보통,0.0506,좋음,0.0132,좋음,0.43,좋음,0.0026
2024-04-25:20,보통,36,보통,16,보통,0.0561,좋음,0.0129,좋음,0.41,좋음,0.0028
2024-04-25:19,보통,33,좋음,14,보통,0.0592,좋음,0.0101,좋음,0.38,좋음,0.0029
2024-04-25:18,보통,34,좋음,12,보통,0.0591,좋음,0.0082,좋음,0.33,좋음,0.0025
2024-04-25:17,보통,33,좋음,13,보통,0.0564,좋음,0.0083,좋음,0.25,좋음,0.0021
2024-04-25:16,보통,40,좋음,12,,,,,,,,
2024-04-25:15,,,,,,,,,,,,
2024-04-25:14,,,,,,,,,,,,
2024-04-25:13,,,,,,,,,,,,
2024-04-25:12,,,,,,,,,,,,
2024-04-25:11,좋음,25,좋음,10,보통,0.0379,좋음,0.0161,좋음,0.24,좋음,0.0018
2024-04-25:10,보통,39,보통,16,보통,0.0384,좋음,0.0128,좋음,0.26,좋음,0.0019
2024-04-25:09,보통,42,보통,21,보통,0.0311,좋음,0.0164,좋음,0.33,좋음,0.0019
2024-04-25:08,보통,32,좋음,15,보통,0.0348,좋음,0.0125,좋음,0.27,좋음,0.0019
2024-04-25:07,보통,51,보통,16,보통,0.0342,좋음,0.0130,좋음,0.25,좋음,0.0017
2024-04-25:06,보통,55,좋음,14,보통,0.0355,좋음,0.0105,좋음,0.24,좋음,0.0015
2024-04-25:05,보통,45,보통,18,보통,0.0322,좋음,0.0101,좋음,0.28,좋음,0.0016
2024-04-25:04,좋음,22,좋음,8,보통,0.0359,좋음,0.0083,좋음,0.24,좋음,0.0017
2024-04-25:03,좋음,24,보통,18,보통,0.0355,좋음,0.0103,좋음,0.23,좋음,0.0017
2024-04-25:02,좋음,20,좋음,12,보통,0.0364,좋음,0.0121,좋음,0.24,좋음,0.0017
2024-04-25:01,좋음,25,좋음,10,보통,0.0368,좋음,0.0116,좋음,0.24,좋음,0.0018
2024-04-24:24,좋음,22,좋음,14,보통,0.0352,좋음,0.0125,좋음,0.27,좋음,0.0019
2024-04-24:23,좋음,23,좋음,12,보통,0.0357,좋음,0.0127,좋음,0.26,좋음,0.0018
2024-04-24:22,좋음,30,좋음,15,보통,0.0346,좋음,0.0133,좋음,0.24,좋음,0.0017
2024-04-24:21,좋음,23,좋음,10,보통,0.0366,좋음,0.0121,좋음,0.23,좋음,0.0016
2024-04-24:20,보통,31,보통,16,보통,0.0371,좋음,0.0091,좋음,0.23,좋음,0.0016
2024-04-24:19,좋음,30,보통,16,보통,0.0458,좋음,0.0088,좋음,0.22,좋음,0.0019
2024-04-24:18,보통,42,보통,18,보통,0.0507,좋음,0.0065,좋음,0.21,좋음,0.0019
2024-04-24:17,보통,58,보통,17,보통,0.0492,좋음,0.0080,좋음,0.21,좋음,0.0019
2024-04-24:16,보통,64,좋음,12,보통,0.0411,좋음,0.0178,좋음,0.26,좋음,0.0023
2024-04-24:15,보통,60,좋음,13,보통,0.0343,좋음,0.0227,좋음,0.26,좋음,0.0022
2024-04-24:14,좋음,28,좋음,15,보통,0.0384,좋음,0.0118,좋음,0.24,좋음,0.0019
2024-04-24:13,좋음,28,좋음,11,보통,0.0308,좋음,0.0144,좋음,0.23,좋음,0.0019
2024-04-24:12,보통,44,보통,17,좋음,0.0244,좋음,0.0158,좋음,0.25,좋음,0.0019
2024-04-24:11,좋음,18,좋음,12,좋음,0.0190,좋음,0.0183,좋음,0.24,좋음,0.0020
2024-04-24:10,좋음,8,,,좋음,0.0166,좋음,0.0157,좋음,0.26,좋음,0.0019
2024-04-24:09,좋음,20,좋음,12,좋음,0.0166,좋음,0.0172,좋음,0.23,좋음,0.0020
2024-04-24:08,좋음,15,좋음,13,좋음,0.0093,좋음,0.0206,좋음,0.30,좋음,0.0018
2024-04-24:07,좋음,21,좋음,12,좋음,0.0078,좋음,0.0199,좋음,0.28,좋음,0.0018
2024-04-24:06,좋음,17,좋음,10,좋음,0.0148,좋음,0.0118,좋음,0.22,좋음,0.0018
2024-04-24:05,좋음,15,좋음,13,좋음,0.0202,좋음,0.0106,좋음,0.22,좋음,0.0019
2024-04-24:04,좋음,12,좋음,6,좋음,0.0223,좋음,0.0088,좋음,0.22,좋음,0.0018
2024-04-24:03,좋음,10,좋음,9,좋음,0.0220,좋음,0.0095,좋음,0.22,좋음,0.0018
2024-04-24:02,좋음,9,,,좋음,0.0209,좋음,0.0116,좋음,0.22,좋음,0.0019
2024-04-24:01,좋음,8,,,좋음,0.0191,좋음,0.0123,좋음,0.25,좋음,0.0018
2024-04-23:24,좋음,1,,,좋음,0.0218,좋음,0.0107,좋음,0.24,좋음,0.0018
2024-04-23:23,좋음,3,,,좋음,0.0212,좋음,0.0128,좋음,0.25,좋음,0.0018
2024-04-23:22,좋음,3,,,좋음,0.0242,좋음,0.0117,좋음,0.26,좋음,0.0018
2024-04-23:21,좋음,15,좋음,11,좋음,0.0183,좋음,0.0203,좋음,0.28,좋음,0.0017
2024-04-23:20,좋음,22,보통,19,좋음,0.0290,좋음,0.0101,좋음,0.25,좋음,0.0017
2024-04-23:19,보통,32,좋음,15,보통,0.0307,좋음,0.0125,좋음,0.24,좋음,0.0020
2024-04-23:18,보통,32,보통,20,좋음,0.0272,좋음,0.0194,좋음,0.23,좋음,0.0020
2024-04-23:17,보통,38,좋음,15,보통,0.0391,좋음,0.0105,좋음,0.22,좋음,0.0019
2024-04-23:16,보통,37,좋음,11,보통,0.0451,좋음,0.0100,좋음,0.20,좋음,0.0018
2024-04-23:15,보통,34,보통,21,보통,0.0486,좋음,0.0121,좋음,0.22,좋음,0.0019
2024-04-23:14,보통,44,보통,18,보통,0.0482,좋음,0.0144,좋음,0.22,좋음,0.0021
2024-04-23:13,보통,61,보통,16,보통,0.0492,좋음,0.0111,좋음,0.22,좋음,0.0021
2024-04-23:12,보통,47,보통,19,보통,0.0482,좋음,0.0124,좋음,0.23,좋음,0.0023
2024-04-23:11,보통,66,보통,24,보통,0.0397,좋음,0.0205,좋음,0.26,좋음,0.0023
2024-04-23:10,보통,69,보통,24,보통,0.0435,좋음,0.0179,좋음,0.30,좋음,0.0025
2024-04-23:09,보통,50,보통,22,보통,0.0362,좋음,0.0198,좋음,0.29,좋음,0.0021
2024-04-23:08,보통,42,보통,25,보통,0.0306,좋음,0.0190,좋음,0.30,좋음,0.0020
2024-04-23:07,보통,53,보통,26,좋음,0.0234,좋음,0.0222,좋음,0.30,좋음,0.0019
2024-04-23:06,보통,49,보통,23,좋음,0.0114,좋음,0.0273,좋음,0.30,좋음,0.0021
2024-04-23:05,보통,36,보통,25,좋음,0.0136,좋음,0.0196,좋음,0.28,좋음,0.0019
2024-04-23:04,좋음,22,,,좋음,0.0185,좋음,0.0136,좋음,0.29,좋음,0.0018
2024-04-23:03,좋음,29,보통,26,좋음,0.0191,좋음,0.0163,좋음,0.30,좋음,0.0022
2024-04-23:02,좋음,29,보통,25,좋음,0.0141,좋음,0.0224,좋음,0.30,좋음,0.0023
