지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
264,함양군,2024-04-14 00:00,12,,0,0,76
264,함양군,2024-04-14 01:00,10.9,,.1,0,83
264,함양군,2024-04-14 02:00,10.1,,.1,0,87
264,함양군,2024-04-14 03:00,9.5,,.1,0,90
264,함양군,2024-04-14 04:00,8.8,,0,0,91
264,함양군,2024-04-14 05:00,8.2,,.2,0,94
264,함양군,2024-04-14 06:00,7.7,,0,0,94
264,함양군,2024-04-14 07:00,8,,0,0,96
264,함양군,2024-04-14 08:00,12.2,,.7,110,81
264,함양군,2024-04-14 09:00,16,,.8,340,62
264,함양군,2024-04-14 10:00,19.5,,1.3,320,49
264,함양군,2024-04-14 11:00,23.5,,3.1,20,34
264,함양군,2024-04-14 12:00,24.7,,3.3,50,30
264,함양군,2024-04-14 13:00,25,,4.3,50,29
264,함양군,2024-04-14 14:00,25.8,,3.1,90,30
264,함양군,2024-04-14 15:00,25.9,,3.2,50,29
264,함양군,2024-04-14 16:00,25.1,,2.9,140,28
264,함양군,2024-04-14 17:00,24,,3.5,160,32
264,함양군,2024-04-14 18:00,23.2,,2.7,140,30
264,함양군,2024-04-14 19:00,20.7,,1.4,90,38
264,함양군,2024-04-14 20:00,17.6,,1.4,70,53
264,함양군,2024-04-14 21:00,18.5,,3,70,52
264,함양군,2024-04-14 22:00,17.7,,2.5,50,56
264,함양군,2024-04-14 23:00,17.6,,1.8,90,55
264,함양군,2024-04-15 00:00,17.6,,2.8,50,56
264,함양군,2024-04-15 01:00,17.4,,2.4,50,59
264,함양군,2024-04-15 02:00,17.4,,3.1,70,60
264,함양군,2024-04-15 03:00,17.9,,3.5,50,59
264,함양군,2024-04-15 04:00,17.9,,2.5,50,62
264,함양군,2024-04-15 05:00,17.9,,4.4,20,63
264,함양군,2024-04-15 06:00,18.1,0,4.1,50,62
264,함양군,2024-04-15 07:00,16.4,.3,2.8,70,74
264,함양군,2024-04-15 08:00,17.2,,3.3,70,69
264,함양군,2024-04-15 09:00,16.2,0,5.1,70,77
264,함양군,2024-04-15 10:00,14.3,11.3,4.1,50,90
264,함양군,2024-04-15 11:00,14.7,2.8,3.2,50,90
264,함양군,2024-04-15 12:00,14.8,1.4,1.8,20,90
264,함양군,2024-04-15 13:00,15.4,.5,2.2,20,88
264,함양군,2024-04-15 14:00,16.7,,2.4,50,83
264,함양군,2024-04-15 15:00,17.4,,.8,360,79
264,함양군,2024-04-15 16:00,17.9,0,1.4,250,79
264,함양군,2024-04-15 17:00,17.8,,1.8,70,80
264,함양군,2024-04-15 18:00,17.3,,.4,0,84
