지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
284,거창,2024-02-24 05:00,.5,,1.4,50,70
284,거창,2024-02-24 06:00,.7,,2.1,90,64
284,거창,2024-02-24 07:00,.6,,1.2,90,64
284,거창,2024-02-24 08:00,.9,,1.2,70,63
284,거창,2024-02-24 09:00,1.5,,.7,360,61
284,거창,2024-02-24 10:00,2.3,,1.2,20,60
284,거창,2024-02-24 11:00,4.2,,.9,50,56
284,거창,2024-02-24 12:00,4.9,,1,20,58
284,거창,2024-02-24 13:00,4.9,,2.1,70,59
284,거창,2024-02-24 14:00,4.7,,2.9,70,59
284,거창,2024-02-24 15:00,4.8,,2.3,70,58
284,거창,2024-02-24 16:00,4.5,,2.9,90,59
284,거창,2024-02-24 17:00,4.1,,1.9,90,60
284,거창,2024-02-24 18:00,3.3,,1.8,90,67
284,거창,2024-02-24 19:00,1.9,,1.8,90,81
284,거창,2024-02-24 20:00,.6,,.4,0,95
284,거창,2024-02-24 21:00,.1,.9,.3,0,99
284,거창,2024-02-24 22:00,-.1,,0,0,99
284,거창,2024-02-24 23:00,-.2,,0,0,99
284,거창,2024-02-25 00:00,-.2,2.4,0,0,99
284,거창,2024-02-25 01:00,-.2,,0,0,99
284,거창,2024-02-25 02:00,-.2,,0,0,99
284,거창,2024-02-25 03:00,-.2,2.2,0,0,99
284,거창,2024-02-25 04:00,-.2,,0,0,99
284,거창,2024-02-25 05:00,-.2,,0,0,99
284,거창,2024-02-25 06:00,-.2,.2,0,0,99
284,거창,2024-02-25 07:00,-.1,,0,0,99
284,거창,2024-02-25 08:00,0,,0,0,99
284,거창,2024-02-25 09:00,.4,.3,.1,0,99
284,거창,2024-02-25 10:00,1.5,,0,0,99
284,거창,2024-02-25 11:00,2.9,,0,0,91
284,거창,2024-02-25 12:00,3.4,0,.1,0,91
284,거창,2024-02-25 13:00,4.5,,.6,320,83
284,거창,2024-02-25 14:00,5.4,,.5,320,79
284,거창,2024-02-25 15:00,6.1,,1,320,75
284,거창,2024-02-25 16:00,6.3,,1.2,360,71
284,거창,2024-02-25 17:00,6.2,,1.1,340,70
284,거창,2024-02-25 18:00,5,,2.5,360,72
284,거창,2024-02-25 19:00,4.4,,2.2,360,75
284,거창,2024-02-25 20:00,3.8,,2.5,360,78
284,거창,2024-02-25 21:00,3.6,,3.4,340,75
284,거창,2024-02-25 22:00,3.3,,2.5,360,74
284,거창,2024-02-25 23:00,3.1,,2.2,360,70
284,거창,2024-02-26 00:00,2.5,,1.3,360,70
284,거창,2024-02-26 01:00,.4,,.2,0,83
284,거창,2024-02-26 02:00,-.3,,1,250,89
284,거창,2024-02-26 03:00,-.5,,.8,270,87
284,거창,2024-02-26 04:00,-1.2,,.4,0,92
284,거창,2024-02-26 05:00,-1.6,,1.2,270,93
284,거창,2024-02-26 06:00,-2.5,,.5,250,96
284,거창,2024-02-26 07:00,-2.2,,.8,290,98
284,거창,2024-02-26 08:00,-1.9,,.1,0,96
284,거창,2024-02-26 09:00,.9,,.2,0,85
284,거창,2024-02-26 10:00,3.4,,.2,0,67
284,거창,2024-02-26 11:00,6.1,,.5,70,57
284,거창,2024-02-26 12:00,6.5,,1,340,52
284,거창,2024-02-26 13:00,7.7,,1,290,48
284,거창,2024-02-26 14:00,8.1,,.9,110,47
284,거창,2024-02-26 15:00,7.9,,1.7,50,48
284,거창,2024-02-26 16:00,8.1,,1.3,90,47
284,거창,2024-02-26 17:00,7.3,,1.9,50,51
284,거창,2024-02-26 18:00,6.2,,1.8,50,54
284,거창,2024-02-26 19:00,5.2,,1.6,20,58
284,거창,2024-02-26 20:00,3.1,,1.6,270,72
284,거창,2024-02-26 21:00,1.7,,.7,230,79
284,거창,2024-02-26 22:00,3.5,,3.2,140,65
284,거창,2024-02-26 23:00,2.6,,.2,0,73
284,거창,2024-02-27 00:00,.9,,.5,340,84
284,거창,2024-02-27 01:00,-.6,,.4,0,88
284,거창,2024-02-27 02:00,-1.1,,.2,0,90
284,거창,2024-02-27 03:00,-1.7,,.1,0,94
284,거창,2024-02-27 04:00,-1.5,,.5,290,92
284,거창,2024-02-27 05:00,-2.1,,.8,290,94
284,거창,2024-02-27 06:00,-2.8,,.2,0,95
284,거창,2024-02-27 07:00,-2.1,,.8,270,97
284,거창,2024-02-27 08:00,-1.8,,.1,0,96
284,거창,2024-02-27 09:00,.4,,.2,0,89
284,거창,2024-02-27 10:00,3.4,,.1,0,66
284,거창,2024-02-27 11:00,4.2,,.1,0,56
284,거창,2024-02-27 12:00,4.8,,1,160,52
284,거창,2024-02-27 13:00,6,,2,90,48
284,거창,2024-02-27 14:00,6.3,,2.9,140,49
284,거창,2024-02-27 15:00,5.8,,1.9,140,48
284,거창,2024-02-27 16:00,6.2,,1.9,160,46
284,거창,2024-02-27 17:00,6.1,,2.2,160,46
284,거창,2024-02-27 18:00,4.7,,2.8,140,52
284,거창,2024-02-27 19:00,3.1,,.4,0,60
284,거창,2024-02-27 20:00,1.1,,.7,250,74
284,거창,2024-02-27 21:00,-.2,,1.5,250,78
284,거창,2024-02-27 22:00,-.8,,.2,0,79
284,거창,2024-02-27 23:00,-1.8,,.3,0,85
284,거창,2024-02-28 00:00,-1.7,,.2,0,86
284,거창,2024-02-28 01:00,-3,,.3,0,89
284,거창,2024-02-28 02:00,-2.6,,.9,270,91
284,거창,2024-02-28 03:00,-3.1,,.6,320,93
284,거창,2024-02-28 04:00,-3.9,,.4,0,94
284,거창,2024-02-28 05:00,-3.9,,.1,0,97
284,거창,2024-02-28 06:00,-4.5,,.1,0,98
284,거창,2024-02-28 07:00,-5.1,,.2,0,97
284,거창,2024-02-28 08:00,-3.5,,0,0,97
284,거창,2024-02-28 09:00,-.9,,0,0,88
284,거창,2024-02-28 10:00,1.7,,.1,0,75
284,거창,2024-02-28 11:00,5.3,,.5,20,55
284,거창,2024-02-28 12:00,7.2,,.6,90,49
284,거창,2024-02-28 13:00,9.1,,.3,0,43
284,거창,2024-02-28 14:00,9.9,,1.3,360,41
284,거창,2024-02-28 15:00,10.8,,.7,110,38
284,거창,2024-02-28 16:00,11.1,,2.1,110,41
284,거창,2024-02-28 17:00,10.2,,2.6,140,44
284,거창,2024-02-28 18:00,8.3,,1.9,140,50
284,거창,2024-02-28 19:00,6.1,,.5,160,55
284,거창,2024-02-28 20:00,4.5,,1,270,67
284,거창,2024-02-28 21:00,3.1,,.7,290,74
284,거창,2024-02-28 22:00,2.9,,1.2,270,74
284,거창,2024-02-28 23:00,2.8,,.3,0,79
284,거창,2024-02-29 00:00,2.8,,0,0,78
284,거창,2024-02-29 01:00,2.6,,.1,0,81
284,거창,2024-02-29 02:00,1.6,,.7,250,85
284,거창,2024-02-29 03:00,1.2,,.2,0,86
284,거창,2024-02-29 04:00,1.4,,.4,0,90
284,거창,2024-02-29 05:00,1.4,,.1,0,89
284,거창,2024-02-29 06:00,1.6,,0,0,87
284,거창,2024-02-29 07:00,1.6,,.1,0,88
284,거창,2024-02-29 08:00,1.9,,.2,0,88
284,거창,2024-02-29 09:00,2.7,,0,0,84
284,거창,2024-02-29 10:00,3.4,,0,0,82
284,거창,2024-02-29 11:00,3.7,,.5,250,87
284,거창,2024-02-29 12:00,3.6,1.5,.5,50,92
284,거창,2024-02-29 13:00,3.7,,1.3,20,95
284,거창,2024-02-29 14:00,3.8,,1.8,360,93
284,거창,2024-02-29 15:00,3.2,2.5,2.5,360,90
284,거창,2024-02-29 16:00,3,,1.5,340,93
284,거창,2024-02-29 17:00,3.5,,2,340,89
284,거창,2024-02-29 18:00,3.4,.9,1.5,360,85
284,거창,2024-02-29 19:00,2.8,,.6,250,93
284,거창,2024-02-29 20:00,2.4,,.7,250,96
284,거창,2024-02-29 21:00,1.6,,0,0,98
284,거창,2024-02-29 22:00,1.6,,1.8,250,97
284,거창,2024-02-29 23:00,1.3,,1.1,290,96
284,거창,2024-03-01 00:00,.5,,.2,0,99
284,거창,2024-03-01 01:00,1.6,,.2,0,86
284,거창,2024-03-01 02:00,2.2,,2.3,290,56
284,거창,2024-03-01 03:00,1.9,,1.6,290,46
284,거창,2024-03-01 04:00,.8,,4.9,320,32
284,거창,2024-03-01 05:00,-.7,,3.1,320,42
284,거창,2024-03-01 06:00,-1.6,,2.8,320,46
284,거창,2024-03-01 07:00,-2.3,,3.9,320,45
284,거창,2024-03-01 08:00,-2.1,,4.9,320,38
284,거창,2024-03-01 09:00,-1.5,,4.5,320,33
284,거창,2024-03-01 10:00,-.5,,4.6,320,31
284,거창,2024-03-01 11:00,0,,5.9,340,27
284,거창,2024-03-01 12:00,.8,,3.8,320,27
284,거창,2024-03-01 13:00,1.3,,5.8,320,23
284,거창,2024-03-01 14:00,1.4,,6.4,320,22
284,거창,2024-03-01 15:00,1.1,,5.1,320,21
284,거창,2024-03-01 16:00,.5,,4.7,290,21
284,거창,2024-03-01 17:00,-.4,,4.1,320,27
284,거창,2024-03-01 18:00,-1.6,,3.7,290,28
284,거창,2024-03-01 19:00,-2.8,,4,320,34
284,거창,2024-03-01 20:00,-4.2,,2.5,320,42
284,거창,2024-03-01 21:00,-4.7,,.3,0,44
284,거창,2024-03-01 22:00,-5.6,,2.4,270,51
284,거창,2024-03-01 23:00,-6,,3,270,49
284,거창,2024-03-02 00:00,-6.7,,1.7,270,51
284,거창,2024-03-02 01:00,-7.2,,.4,0,54
284,거창,2024-03-02 02:00,-7.8,,.4,0,59
284,거창,2024-03-02 03:00,-7.9,,.9,320,58
284,거창,2024-03-02 04:00,-8.6,,.7,250,67
284,거창,2024-03-02 05:00,-9,,.8,230,66
284,거창,2024-03-02 06:00,-8.7,,1.3,230,67
284,거창,2024-03-02 07:00,-9.5,,.6,180,74
284,거창,2024-03-02 08:00,-7.2,,.1,0,65
284,거창,2024-03-02 09:00,-4.9,,.5,70,60
284,거창,2024-03-02 10:00,-2.4,,.4,0,51
284,거창,2024-03-02 11:00,-.8,,1.2,50,43
284,거창,2024-03-02 12:00,1.4,,1.6,110,32
284,거창,2024-03-02 13:00,3.4,,1.3,140,28
284,거창,2024-03-02 14:00,3.9,,3.9,200,25
284,거창,2024-03-02 15:00,4.9,,3.3,250,28
284,거창,2024-03-02 16:00,4.4,,4,230,29
284,거창,2024-03-02 17:00,3.3,,1.9,230,34
284,거창,2024-03-02 18:00,2.1,,3.3,200,40
284,거창,2024-03-02 19:00,1,,2,230,49
284,거창,2024-03-02 20:00,.5,,.8,230,52
