아주동 ( 경남 거제시 아주동 산164-1 거제시 옥포 유해대기측정소 ),,,,,,,,,,,,
,,,,,,,,,,,,
날짜,PM10,,PM2.5,,오존,,이산화질소,,일산화탄소,,아황산가스,
(년-월-일:시),(㎍/㎥),,(㎍/㎥),,(ppm),,(ppm),,(ppm),,(ppm),
,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간
2024-04-26:11,보통,49,나쁨,40,좋음,0.0098,보통,0.0581,좋음,0.46,좋음,0.0038
2024-04-26:10,좋음,24,보통,17,좋음,0.0094,보통,0.0510,좋음,0.48,좋음,0.0031
2024-04-26:09,좋음,18,좋음,9,좋음,0.0172,좋음,0.0253,좋음,0.44,좋음,0.0024
2024-04-26:08,좋음,15,좋음,7,좋음,0.0275,좋음,0.0126,좋음,0.36,좋음,0.0022
2024-04-26:07,좋음,14,좋음,6,좋음,0.0252,좋음,0.0174,좋음,0.36,좋음,0.0023
2024-04-26:06,좋음,12,좋음,5,보통,0.0352,좋음,0.0081,좋음,0.33,좋음,0.0023
2024-04-26:05,좋음,13,좋음,5,보통,0.0415,좋음,0.0041,좋음,0.31,좋음,0.0022
2024-04-26:04,좋음,13,좋음,5,보통,0.0411,좋음,0.0046,좋음,0.32,좋음,0.0024
2024-04-26:03,좋음,16,좋음,5,보통,0.0410,좋음,0.0046,좋음,0.33,좋음,0.0023
2024-04-26:02,좋음,16,좋음,3,보통,0.0353,좋음,0.0080,좋음,0.35,좋음,0.0029
2024-04-26:01,좋음,13,좋음,0,보통,0.0378,좋음,0.0072,좋음,0.34,좋음,0.0028
2024-04-25:24,좋음,15,좋음,0,보통,0.0434,좋음,0.0039,좋음,0.31,좋음,0.0021
2024-04-25:23,좋음,16,좋음,1,보통,0.0428,좋음,0.0043,좋음,0.31,좋음,0.0023
2024-04-25:22,좋음,14,좋음,2,보통,0.0421,좋음,0.0062,좋음,0.32,좋음,0.0020
2024-04-25:21,좋음,15,좋음,3,보통,0.0478,좋음,0.0040,좋음,0.32,좋음,0.0020
2024-04-25:20,좋음,18,좋음,5,보통,0.0566,좋음,0.0048,좋음,0.35,좋음,0.0022
2024-04-25:19,좋음,20,좋음,3,보통,0.0585,좋음,0.0102,좋음,0.43,좋음,0.0025
2024-04-25:18,좋음,23,좋음,1,보통,0.0628,좋음,0.0064,좋음,0.38,좋음,0.0026
2024-04-25:17,좋음,22,좋음,7,보통,0.0604,좋음,0.0085,좋음,0.35,좋음,0.0024
2024-04-25:16,좋음,21,좋음,9,보통,0.0604,좋음,0.0106,좋음,0.33,좋음,0.0022
2024-04-25:15,좋음,16,좋음,5,보통,0.0554,좋음,0.0142,좋음,0.32,좋음,0.0021
2024-04-25:14,좋음,11,좋음,3,보통,0.0558,좋음,0.0090,좋음,0.30,좋음,0.0021
2024-04-25:13,좋음,14,좋음,6,보통,0.0583,좋음,0.0043,좋음,0.30,좋음,0.0020
2024-04-25:12,좋음,14,좋음,12,보통,0.0550,좋음,0.0054,좋음,0.31,좋음,0.0021
2024-04-25:11,좋음,18,보통,16,보통,0.0511,좋음,0.0062,좋음,0.31,좋음,0.0020
2024-04-25:10,좋음,18,좋음,10,보통,0.0468,좋음,0.0081,좋음,0.33,좋음,0.0020
2024-04-25:09,좋음,19,좋음,11,보통,0.0421,좋음,0.0114,좋음,0.34,좋음,0.0020
2024-04-25:08,좋음,19,좋음,9,보통,0.0479,좋음,0.0055,좋음,0.32,좋음,0.0019
2024-04-25:07,좋음,19,좋음,3,보통,0.0461,좋음,0.0040,좋음,0.32,좋음,0.0020
2024-04-25:06,좋음,20,좋음,4,보통,0.0443,좋음,0.0034,좋음,0.30,좋음,0.0019
2024-04-25:05,좋음,18,좋음,4,보통,0.0473,좋음,0.0023,좋음,0.30,좋음,0.0019
2024-04-25:04,좋음,17,좋음,6,보통,0.0478,좋음,0.0025,좋음,0.30,좋음,0.0019
2024-04-25:03,좋음,19,좋음,7,보통,0.0435,좋음,0.0027,좋음,0.30,좋음,0.0020
2024-04-25:02,좋음,17,좋음,5,보통,0.0467,좋음,0.0038,좋음,0.31,좋음,0.0021
2024-04-25:01,좋음,19,좋음,5,보통,0.0443,좋음,0.0036,좋음,0.30,좋음,0.0020
2024-04-24:24,좋음,24,좋음,6,보통,0.0450,좋음,0.0040,좋음,0.30,좋음,0.0019
2024-04-24:23,좋음,24,좋음,7,보통,0.0447,좋음,0.0038,좋음,0.30,좋음,0.0019
2024-04-24:22,좋음,25,좋음,5,보통,0.0375,좋음,0.0089,좋음,0.31,좋음,0.0019
2024-04-24:21,좋음,23,좋음,4,보통,0.0384,좋음,0.0087,좋음,0.33,좋음,0.0019
2024-04-24:20,좋음,23,좋음,5,보통,0.0450,좋음,0.0060,좋음,0.31,좋음,0.0021
2024-04-24:19,좋음,22,좋음,2,보통,0.0481,좋음,0.0041,좋음,0.31,좋음,0.0024
2024-04-24:18,좋음,22,좋음,0,보통,0.0538,좋음,0.0048,좋음,0.32,좋음,0.0025
2024-04-24:17,좋음,24,좋음,4,보통,0.0582,좋음,0.0045,좋음,0.35,좋음,0.0026
2024-04-24:16,,,,,,,,,,,,
2024-04-24:15,,,,,,,,,,,,
2024-04-24:14,,,,,,,,,,,,
2024-04-24:13,,,,,,,,,,,,
