瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%)
192,柳林,2024-02-18 05:00,.9,,.5,70,96
192,柳林,2024-02-18 06:00,.5,,.2,0,97
192,柳林,2024-02-18 07:00,.6,,.3,0,97
192,柳林,2024-02-18 08:00,1.2,,.3,0,97
192,柳林,2024-02-18 09:00,2.9,,1.2,340,97
192,柳林,2024-02-18 10:00,4.4,,1.3,290,87
192,柳林,2024-02-18 11:00,5.3,,1.3,290,86
192,柳林,2024-02-18 12:00,6.3,0,.8,290,82
192,柳林,2024-02-18 13:00,7.1,,.3,0,81
192,柳林,2024-02-18 14:00,7.6,,.7,290,80
192,柳林,2024-02-18 15:00,7.8,,.6,250,80
192,柳林,2024-02-18 16:00,8.1,,1.2,290,80
192,柳林,2024-02-18 17:00,7,,.9,290,94
192,柳林,2024-02-18 18:00,7.4,3.2,.8,290,96
192,柳林,2024-02-18 19:00,7.6,,.3,0,96
192,柳林,2024-02-18 20:00,8.1,,.8,320,97
192,柳林,2024-02-18 21:00,8.4,11.7,.5,250,97
192,柳林,2024-02-18 22:00,8.6,,.2,0,97
192,柳林,2024-02-18 23:00,8.8,,1.2,290,97
192,柳林,2024-02-19 00:00,10.2,30.3,2.2,340,100
192,柳林,2024-02-19 01:00,14.3,,2.5,250,100
192,柳林,2024-02-19 02:00,15,,1.2,140,97
192,柳林,2024-02-19 03:00,15.5,56.9,1.6,160,97
192,柳林,2024-02-19 04:00,15.5,,.6,70,96
192,柳林,2024-02-19 05:00,15.9,,.8,110,97
192,柳林,2024-02-19 06:00,15.7,16,.4,0,96
192,柳林,2024-02-19 07:00,16.5,,1,110,96
192,柳林,2024-02-19 08:00,12.4,,.3,0,95
192,柳林,2024-02-19 09:00,12.8,1.2,.9,340,96
192,柳林,2024-02-19 10:00,14.6,,.4,0,100
192,柳林,2024-02-19 11:00,17.2,,1,230,91
192,柳林,2024-02-19 12:00,18.2,.2,1.4,250,85
192,柳林,2024-02-19 13:00,20.5,,2.3,250,74
192,柳林,2024-02-19 14:00,20.7,,3.9,250,66
192,柳林,2024-02-19 15:00,20.5,,3.7,250,67
192,柳林,2024-02-19 16:00,20.8,,1.1,270,68
192,柳林,2024-02-19 17:00,19.5,,1.4,230,72
192,柳林,2024-02-19 18:00,17.3,,1.7,230,81
192,柳林,2024-02-19 19:00,16.8,,1.7,200,82
192,柳林,2024-02-19 20:00,15.8,,.8,200,82
192,柳林,2024-02-19 21:00,13.3,,.4,0,88
192,柳林,2024-02-19 22:00,13.6,,.9,200,89
192,柳林,2024-02-19 23:00,11.1,,.7,200,93
192,柳林,2024-02-20 00:00,10.3,,.6,290,94
192,柳林,2024-02-20 01:00,10.6,,.7,290,94
192,柳林,2024-02-20 02:00,10.1,,.4,0,91
192,柳林,2024-02-20 03:00,10.1,,.5,290,90
192,柳林,2024-02-20 04:00,9.6,,.1,0,91
192,柳林,2024-02-20 05:00,9.5,,.7,290,94
192,柳林,2024-02-20 06:00,9.6,1,.6,20,95
192,柳林,2024-02-20 07:00,9.6,,1,320,96
192,柳林,2024-02-20 08:00,9.6,,.6,270,95
192,柳林,2024-02-20 09:00,10.1,,1.1,360,95
192,柳林,2024-02-20 10:00,9.6,,.7,50,95
192,柳林,2024-02-20 11:00,9.3,,1,110,95
