tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-08:16,좋음,29,보통,23,보통,0.0523,좋음,0.0134,좋음,0.40,좋음,0.0029
2024-02-08:15,보통,33,보통,26,보통,0.0521,좋음,0.0122,좋음,0.42,좋음,0.0032
2024-02-08:14,보통,35,보통,28,보통,0.0453,좋음,0.0131,좋음,0.47,좋음,0.0031
2024-02-08:13,보통,34,보통,24,보통,0.0391,좋음,0.0111,좋음,0.42,좋음,0.0028
2024-02-08:12,보통,32,보통,23,보통,0.0350,좋음,0.0120,좋음,0.40,좋음,0.0026
2024-02-08:11,보통,48,보통,29,좋음,0.0271,좋음,0.0176,좋음,0.44,좋음,0.0027
2024-02-08:10,보통,65,보통,31,좋음,0.0091,보통,0.0328,좋음,0.61,좋음,0.0029
2024-02-08:09,보통,59,보통,27,좋음,0.0049,보통,0.0365,좋음,0.65,좋음,0.0026
2024-02-08:08,보통,33,보통,22,좋음,0.0063,보통,0.0346,좋음,0.52,좋음,0.0025
2024-02-08:07,좋음,28,보통,21,좋음,0.0082,좋음,0.0301,좋음,0.48,좋음,0.0022
2024-02-08:06,보통,31,보통,22,좋음,0.0044,보통,0.0319,좋음,0.48,좋음,0.0023
2024-02-08:05,좋음,29,보통,22,좋음,0.0103,좋음,0.0274,좋음,0.48,좋음,0.0025
2024-02-08:04,좋음,29,보통,21,좋음,0.0097,좋음,0.0277,좋음,0.46,좋음,0.0024
2024-02-08:03,좋음,27,보통,19,좋음,0.0216,좋음,0.0188,좋음,0.42,좋음,0.0023
2024-02-08:02,좋음,25,보통,20,좋음,0.0254,좋음,0.0179,좋음,0.41,좋음,0.0025
2024-02-08:01,좋음,29,보통,21,좋음,0.0205,좋음,0.0244,좋음,0.45,좋음,0.0029
2024-02-07:24,보통,35,보통,22,좋음,0.0046,보통,0.0405,좋음,0.59,좋음,0.0029
2024-02-07:23,보통,37,보통,21,좋음,0.0044,보통,0.0445,좋음,0.58,좋음,0.0031
2024-02-07:22,보통,37,보통,23,좋음,0.0055,보통,0.0469,좋음,0.56,좋음,0.0031
2024-02-07:21,보통,32,보통,21,좋음,0.0237,보통,0.0334,좋음,0.56,좋음,0.0029
2024-02-07:20,보통,42,보통,27,좋음,0.0266,보통,0.0311,좋음,0.57,좋음,0.0027
2024-02-07:19,보통,32,보통,23,보통,0.0330,좋음,0.0262,좋음,0.54,좋음,0.0026
2024-02-07:18,좋음,22,보통,17,보통,0.0404,좋음,0.0202,좋음,0.41,좋음,0.0026
2024-02-07:17,좋음,19,좋음,14,보통,0.0485,좋음,0.0137,좋음,0.34,좋음,0.0025
2024-02-07:16,좋음,18,보통,16,보통,0.0492,좋음,0.0127,좋음,0.34,좋음,0.0026
2024-02-07:15,좋음,20,좋음,15,보통,0.0474,좋음,0.0109,좋음,0.34,좋음,0.0027
2024-02-07:14,좋음,20,보통,17,보통,0.0452,좋음,0.0108,좋음,0.35,좋음,0.0023
2024-02-07:13,좋음,21,보통,17,보통,0.0439,좋음,0.0099,좋음,0.36,좋음,0.0022
2024-02-07:12,좋음,20,보통,16,보통,0.0404,좋음,0.0112,좋음,0.37,좋음,0.0025
2024-02-07:11,좋음,20,좋음,13,보통,0.0378,좋음,0.0109,좋음,0.38,좋음,0.0022
2024-02-07:10,좋음,17,좋음,11,보통,0.0316,좋음,0.0142,좋음,0.39,좋음,0.0025
2024-02-07:09,좋음,19,좋음,13,좋음,0.0146,좋음,0.0265,좋음,0.44,좋음,0.0025
2024-02-07:08,좋음,23,보통,17,좋음,0.0078,좋음,0.0289,좋음,0.47,좋음,0.0021
2024-02-07:07,좋음,17,좋음,13,좋음,0.0068,좋음,0.0281,좋음,0.41,좋음,0.0023
2024-02-07:06,좋음,15,좋음,10,좋음,0.0160,좋음,0.0195,좋음,0.38,좋음,0.0024
2024-02-07:05,좋음,13,좋음,12,좋음,0.0183,좋음,0.0176,좋음,0.34,좋음,0.0021
2024-02-07:04,좋음,14,좋음,14,좋음,0.0147,좋음,0.0219,좋음,0.35,좋음,0.0024
2024-02-07:03,좋음,14,좋음,12,좋음,0.0114,좋음,0.0233,좋음,0.36,좋음,0.0023
2024-02-07:02,좋음,16,좋음,12,좋음,0.0156,좋음,0.0199,좋음,0.35,좋음,0.0027
2024-02-07:01,좋음,16,좋음,11,좋음,0.0161,좋음,0.0207,좋음,0.36,좋음,0.0025
2024-02-06:24,좋음,17,좋음,10,좋음,0.0187,좋음,0.0215,좋음,0.38,좋음,0.0026
2024-02-06:23,좋음,17,좋음,12,좋음,0.0208,좋음,0.0204,좋음,0.39,좋음,0.0025
2024-02-06:22,좋음,20,좋음,13,좋음,0.0169,좋음,0.0249,좋음,0.42,좋음,0.0024
2024-02-06:21,좋음,17,좋음,13,좋음,0.0167,좋음,0.0256,좋음,0.43,좋음,0.0025
2024-02-06:20,좋음,18,좋음,14,좋음,0.0221,좋음,0.0216,좋음,0.41,좋음,0.0026
2024-02-06:19,좋음,21,좋음,14,좋음,0.0217,좋음,0.0237,좋음,0.42,좋음,0.0024
2024-02-06:18,좋음,21,보통,16,좋음,0.0256,좋음,0.0208,좋음,0.37,좋음,0.0024
2024-02-06:17,좋음,12,좋음,11,좋음,0.0263,좋음,0.0180,좋음,0.35,좋음,0.0022
2024-02-06:16,,,,,,,,,,,,
2024-02-06:15,좋음,9,좋음,9,보통,0.0348,좋음,0.0137,좋음,0.33,좋음,0.0022
2024-02-06:14,좋음,10,좋음,7,보통,0.0377,좋음,0.0119,좋음,0.32,좋음,0.0022
2024-02-06:13,좋음,8,좋음,7,보통,0.0377,좋음,0.0112,좋음,0.33,좋음,0.0023
2024-02-06:12,좋음,10,좋음,7,보통,0.0354,좋음,0.0133,좋음,0.32,좋음,0.0021
2024-02-06:11,좋음,9,좋음,7,보통,0.0332,좋음,0.0145,좋음,0.33,좋음,0.0021
2024-02-06:10,좋음,10,좋음,5,좋음,0.0260,좋음,0.0216,좋음,0.34,좋음,0.0023
2024-02-06:09,좋음,6,좋음,4,좋음,0.0278,좋음,0.0207,좋음,0.35,좋음,0.0020
2024-02-06:08,좋음,8,좋음,6,보통,0.0305,좋음,0.0177,좋음,0.32,좋음,0.0023
2024-02-06:07,좋음,4,,,보통,0.0316,좋음,0.0155,좋음,0.30,좋음,0.0020
2024-02-06:06,좋음,6,좋음,5,보통,0.0354,좋음,0.0124,좋음,0.29,좋음,0.0023
2024-02-06:05,좋음,4,좋음,4,보통,0.0380,좋음,0.0101,좋음,0.28,좋음,0.0022
2024-02-06:04,좋음,3,,,보통,0.0408,좋음,0.0094,좋음,0.29,좋음,0.0025
2024-02-06:03,좋음,3,좋음,2,보통,0.0424,좋음,0.0091,좋음,0.28,좋음,0.0023
2024-02-06:02,좋음,1,,,보통,0.0422,좋음,0.0098,좋음,0.27,좋음,0.0024
2024-02-06:01,,,좋음,1,보통,0.0414,좋음,0.0108,좋음,0.28,좋음,0.0022
2024-02-05:24,좋음,2,좋음,2,보통,0.0414,좋음,0.0110,좋음,0.27,좋음,0.0023
2024-02-05:23,좋음,1,,,보통,0.0405,좋음,0.0128,좋음,0.36,좋음,0.0023
2024-02-05:22,좋음,3,,,보통,0.0386,좋음,0.0137,좋음,0.32,좋음,0.0025
2024-02-05:21,좋음,5,좋음,3,보통,0.0358,좋음,0.0182,좋음,0.35,좋음,0.0027
2024-02-05:20,좋음,7,좋음,6,보통,0.0366,좋음,0.0179,좋음,0.36,좋음,0.0026
2024-02-05:19,좋음,2,,,보통,0.0353,좋음,0.0190,좋음,0.35,좋음,0.0027
2024-02-05:18,좋음,6,좋음,4,보통,0.0381,좋음,0.0166,좋음,0.29,좋음,0.0026
2024-02-05:17,좋음,10,좋음,5,보통,0.0404,좋음,0.0156,좋음,0.27,좋음,0.0027
2024-02-05:16,좋음,11,좋음,4,보통,0.0405,좋음,0.0156,좋음,0.27,좋음,0.0028
2024-02-05:15,좋음,4,좋음,2,보통,0.0422,좋음,0.0144,좋음,0.26,좋음,0.0027
2024-02-05:14,좋음,3,좋음,3,보통,0.0374,좋음,0.0176,좋음,0.29,좋음,0.0024
2024-02-05:13,좋음,2,,,좋음,0.0298,좋음,0.0243,좋음,0.32,좋음,0.0028
2024-02-05:12,좋음,4,좋음,4,좋음,0.0266,좋음,0.0276,좋음,0.34,좋음,0.0025
2024-02-05:11,좋음,4,좋음,1,좋음,0.0217,좋음,0.0304,좋음,0.34,좋음,0.0026
2024-02-05:10,좋음,2,좋음,2,좋음,0.0205,좋음,0.0299,좋음,0.36,좋음,0.0023
2024-02-05:09,좋음,3,좋음,1,좋음,0.0180,보통,0.0320,좋음,0.37,좋음,0.0026
2024-02-05:08,좋음,2,,,좋음,0.0184,보통,0.0308,좋음,0.39,좋음,0.0024
2024-02-05:07,좋음,1,,,좋음,0.0265,좋음,0.0211,좋음,0.37,좋음,0.0025
2024-02-05:06,,,좋음,2,보통,0.0321,좋음,0.0153,좋음,0.35,좋음,0.0027
2024-02-05:05,좋음,3,좋음,2,보통,0.0330,좋음,0.0140,좋음,0.36,좋음,0.0026
2024-02-05:04,좋음,2,좋음,2,보통,0.0343,좋음,0.0138,좋음,0.37,좋음,0.0024
2024-02-05:03,좋음,4,좋음,3,보통,0.0370,좋음,0.0123,좋음,0.35,좋음,0.0025
2024-02-05:02,좋음,6,좋음,6,보통,0.0352,좋음,0.0129,좋음,0.32,좋음,0.0024
2024-02-05:01,좋음,7,좋음,5,보통,0.0340,좋음,0.0141,좋음,0.33,좋음,0.0026
2024-02-04:24,좋음,9,좋음,7,보통,0.0349,좋음,0.0151,좋음,0.32,좋음,0.0027
2024-02-04:23,좋음,9,좋음,6,보통,0.0322,좋음,0.0176,좋음,0.34,좋음,0.0026
2024-02-04:22,좋음,9,좋음,7,보통,0.0404,좋음,0.0125,좋음,0.30,좋음,0.0026
2024-02-04:21,좋음,13,좋음,9,보통,0.0386,좋음,0.0143,좋음,0.32,좋음,0.0029
2024-02-04:20,좋음,12,좋음,9,보통,0.0369,좋음,0.0164,좋음,0.35,좋음,0.0028
2024-02-04:19,좋음,11,좋음,9,보통,0.0369,좋음,0.0165,좋음,0.35,좋음,0.0027
2024-02-04:18,좋음,10,좋음,7,보통,0.0386,좋음,0.0146,좋음,0.32,좋음,0.0028
2024-02-04:17,좋음,11,좋음,6,보통,0.0403,좋음,0.0137,좋음,0.30,좋음,0.0026
2024-02-04:16,좋음,11,좋음,7,보통,0.0395,좋음,0.0138,좋음,0.31,좋음,0.0026
2024-02-04:15,좋음,10,좋음,8,보통,0.0404,좋음,0.0133,좋음,0.30,좋음,0.0026
2024-02-04:14,좋음,10,좋음,5,보통,0.0419,좋음,0.0122,좋음,0.30,좋음,0.0027
2024-02-04:13,좋음,8,좋음,3,보통,0.0381,좋음,0.0122,좋음,0.31,좋음,0.0028
2024-02-04:12,좋음,8,좋음,7,보통,0.0368,좋음,0.0123,좋음,0.30,좋음,0.0026
2024-02-04:11,좋음,6,,,보통,0.0320,좋음,0.0148,좋음,0.35,좋음,0.0026
2024-02-04:10,좋음,3,좋음,3,좋음,0.0286,좋음,0.0169,좋음,0.34,좋음,0.0026
2024-02-04:09,좋음,7,좋음,7,좋음,0.0221,좋음,0.0213,좋음,0.34,좋음,0.0028
2024-02-04:08,좋음,5,좋음,4,좋음,0.0195,좋음,0.0224,좋음,0.34,좋음,0.0027
2024-02-04:07,좋음,4,좋음,3,좋음,0.0275,좋음,0.0141,좋음,0.30,좋음,0.0025
2024-02-04:06,좋음,3,,,좋음,0.0303,좋음,0.0127,좋음,0.31,좋음,0.0029
2024-02-04:05,좋음,2,,,보통,0.0310,좋음,0.0120,좋음,0.30,좋음,0.0026
2024-02-04:04,좋음,4,,,보통,0.0310,좋음,0.0128,좋음,0.31,좋음,0.0026
2024-02-04:03,좋음,4,좋음,3,보통,0.0322,좋음,0.0136,좋음,0.32,좋음,0.0028
2024-02-04:02,좋음,6,좋음,6,보통,0.0319,좋음,0.0125,좋음,0.32,좋음,0.0025
2024-02-04:01,좋음,6,좋음,6,좋음,0.0297,좋음,0.0139,좋음,0.33,좋음,0.0029
2024-02-03:24,좋음,5,좋음,3,좋음,0.0299,좋음,0.0173,좋음,0.34,좋음,0.0026
2024-02-03:23,좋음,2,,,보통,0.0324,좋음,0.0166,좋음,0.34,좋음,0.0030
2024-02-03:22,좋음,4,좋음,4,보통,0.0322,좋음,0.0172,좋음,0.35,좋음,0.0030
2024-02-03:21,좋음,12,좋음,11,보통,0.0336,좋음,0.0177,좋음,0.33,좋음,0.0029
2024-02-03:20,좋음,16,좋음,11,보통,0.0347,좋음,0.0184,좋음,0.36,좋음,0.0031
2024-02-03:19,좋음,15,좋음,8,보통,0.0322,좋음,0.0230,좋음,0.39,좋음,0.0033
2024-02-03:18,좋음,11,좋음,7,보통,0.0414,좋음,0.0154,좋음,0.31,좋음,0.0032
2024-02-03:17,좋음,12,좋음,7,보통,0.0425,좋음,0.0145,좋음,0.30,좋음,0.0031
2024-02-03:16,좋음,13,좋음,6,보통,0.0422,좋음,0.0148,좋음,0.30,좋음,0.0030
2024-02-03:15,좋음,12,좋음,7,보통,0.0436,좋음,0.0135,좋음,0.29,좋음,0.0034
2024-02-03:14,좋음,11,좋음,7,보통,0.0434,좋음,0.0134,좋음,0.30,좋음,0.0032
2024-02-03:13,좋음,17,좋음,11,보통,0.0423,좋음,0.0129,좋음,0.31,좋음,0.0031
2024-02-03:12,좋음,24,좋음,15,보통,0.0348,좋음,0.0177,좋음,0.36,좋음,0.0031
2024-02-03:11,좋음,29,보통,17,좋음,0.0276,좋음,0.0199,좋음,0.37,좋음,0.0031
2024-02-03:10,좋음,24,좋음,12,좋음,0.0199,좋음,0.0240,좋음,0.40,좋음,0.0032
2024-02-03:09,좋음,26,좋음,11,좋음,0.0077,보통,0.0323,좋음,0.48,좋음,0.0033
2024-02-03:08,좋음,19,좋음,12,좋음,0.0029,보통,0.0351,좋음,0.46,좋음,0.0031
2024-02-03:07,좋음,15,좋음,10,좋음,0.0049,보통,0.0321,좋음,0.42,좋음,0.0031
2024-02-03:06,좋음,16,좋음,12,좋음,0.0069,좋음,0.0295,좋음,0.38,좋음,0.0030
2024-02-03:05,좋음,20,좋음,14,좋음,0.0141,좋음,0.0216,좋음,0.52,좋음,0.0032
2024-02-03:04,좋음,19,좋음,13,좋음,0.0163,좋음,0.0217,좋음,0.65,좋음,0.0030
2024-02-03:03,좋음,19,좋음,13,좋음,0.0190,좋음,0.0211,좋음,0.38,좋음,0.0032
2024-02-03:02,좋음,20,좋음,14,좋음,0.0188,좋음,0.0243,좋음,0.43,좋음,0.0035
2024-02-03:01,좋음,17,좋음,11,좋음,0.0266,좋음,0.0198,좋음,0.38,좋음,0.0032
2024-02-02:24,좋음,15,좋음,10,좋음,0.0279,좋음,0.0226,좋음,0.37,좋음,0.0040
2024-02-02:23,좋음,20,좋음,13,좋음,0.0263,좋음,0.0248,좋음,0.38,좋음,0.0044
2024-02-02:22,좋음,25,보통,16,좋음,0.0217,좋음,0.0300,좋음,0.41,좋음,0.0048
2024-02-02:21,좋음,27,보통,17,좋음,0.0212,보통,0.0332,좋음,0.42,좋음,0.0054
2024-02-02:20,좋음,25,보통,17,좋음,0.0164,보통,0.0388,좋음,0.44,좋음,0.0049
2024-02-02:19,좋음,21,좋음,11,좋음,0.0234,보통,0.0332,좋음,0.41,좋음,0.0048
2024-02-02:18,좋음,19,좋음,11,보통,0.0331,좋음,0.0249,좋음,0.36,좋음,0.0040
2024-02-02:17,좋음,19,좋음,12,보통,0.0340,좋음,0.0237,좋음,0.35,좋음,0.0039
2024-02-02:16,좋음,18,좋음,11,보통,0.0359,좋음,0.0210,좋음,0.33,좋음,0.0035
2024-02-02:15,좋음,21,좋음,9,보통,0.0387,좋음,0.0177,좋음,0.32,좋음,0.0032
2024-02-02:14,좋음,17,좋음,10,보통,0.0410,좋음,0.0148,좋음,0.31,좋음,0.0031
2024-02-02:13,좋음,14,좋음,8,보통,0.0369,좋음,0.0166,좋음,0.34,좋음,0.0032
2024-02-02:12,좋음,10,좋음,8,보통,0.0349,좋음,0.0155,좋음,0.33,좋음,0.0029
2024-02-02:11,좋음,10,좋음,5,보통,0.0333,좋음,0.0151,좋음,0.33,좋음,0.0029
2024-02-02:10,좋음,11,좋음,4,좋음,0.0242,좋음,0.0236,좋음,0.37,좋음,0.0029
2024-02-02:09,좋음,10,좋음,5,좋음,0.0125,보통,0.0346,좋음,0.41,좋음,0.0030
2024-02-02:08,좋음,7,좋음,4,좋음,0.0158,보통,0.0309,좋음,0.39,좋음,0.0028
2024-02-02:07,좋음,7,좋음,3,좋음,0.0257,좋음,0.0205,좋음,0.36,좋음,0.0026
2024-02-02:06,좋음,2,,,보통,0.0332,좋음,0.0137,좋음,0.33,좋음,0.0026
2024-02-02:05,좋음,6,좋음,2,보통,0.0370,좋음,0.0122,좋음,0.34,좋음,0.0026
2024-02-02:04,좋음,1,,,보통,0.0381,좋음,0.0109,좋음,0.31,좋음,0.0026
2024-02-02:03,좋음,3,좋음,2,보통,0.0381,좋음,0.0108,좋음,0.32,좋음,0.0028
2024-02-02:02,좋음,2,좋음,2,보통,0.0378,좋음,0.0111,좋음,0.32,좋음,0.0028
2024-02-02:01,좋음,1,,,보통,0.0366,좋음,0.0127,좋음,0.34,좋음,0.0028
2024-02-01:24,좋음,2,,,보통,0.0368,좋음,0.0125,좋음,0.34,좋음,0.0031
2024-02-01:23,좋음,3,좋음,2,보통,0.0359,좋음,0.0138,좋음,0.35,좋음,0.0030
2024-02-01:22,좋음,1,,,보통,0.0372,좋음,0.0142,좋음,0.36,좋음,0.0030
2024-02-01:21,좋음,7,좋음,7,보통,0.0372,좋음,0.0161,좋음,0.38,좋음,0.0033
2024-02-01:20,좋음,17,좋음,13,보통,0.0392,좋음,0.0162,좋음,0.41,좋음,0.0033
2024-02-01:19,보통,36,보통,19,보통,0.0405,좋음,0.0173,좋음,0.43,좋음,0.0033
2024-02-01:18,보통,48,보통,28,보통,0.0447,좋음,0.0163,좋음,0.45,좋음,0.0034
2024-02-01:17,보통,60,보통,34,보통,0.0482,좋음,0.0175,좋음,0.48,좋음,0.0038
2024-02-01:16,보통,63,보통,33,보통,0.0506,좋음,0.0180,좋음,0.52,좋음,0.0041
2024-02-01:15,보통,58,보통,35,보통,0.0419,좋음,0.0211,좋음,0.52,좋음,0.0042
2024-02-01:14,보통,54,보통,33,좋음,0.0253,보통,0.0331,좋음,0.48,좋음,0.0041
2024-02-01:13,보통,46,보통,33,좋음,0.0108,보통,0.0442,좋음,0.55,좋음,0.0040
2024-02-01:12,보통,47,보통,32,좋음,0.0077,보통,0.0427,좋음,0.56,좋음,0.0041
2024-02-01:11,보통,46,보통,34,좋음,0.0039,보통,0.0432,좋음,0.66,좋음,0.0043
2024-02-01:10,보통,41,보통,31,좋음,0.0035,보통,0.0421,좋음,0.62,좋음,0.0039
2024-02-01:09,보통,38,보통,27,좋음,0.0028,보통,0.0415,좋음,0.64,좋음,0.0041
2024-02-01:08,보통,35,보통,26,좋음,0.0028,보통,0.0383,좋음,0.58,좋음,0.0040
2024-02-01:07,보통,33,보통,25,좋음,0.0030,보통,0.0347,좋음,0.50,좋음,0.0040
2024-02-01:06,보통,32,보통,26,좋음,0.0031,보통,0.0330,좋음,0.55,좋음,0.0038
2024-02-01:05,보통,38,보통,27,좋음,0.0034,보통,0.0329,좋음,0.54,좋음,0.0039
2024-02-01:04,보통,43,보통,33,좋음,0.0033,보통,0.0357,좋음,0.52,좋음,0.0042
2024-02-01:03,보통,43,보통,30,좋음,0.0040,보통,0.0383,좋음,0.55,좋음,0.0037
2024-02-01:02,보통,47,보통,31,좋음,0.0045,보통,0.0389,좋음,0.56,좋음,0.0040
2024-02-01:01,보통,53,보통,34,좋음,0.0039,보통,0.0482,좋음,0.73,좋음,0.0044
2024-01-31:24,보통,44,보통,27,좋음,0.0040,보통,0.0481,좋음,0.64,좋음,0.0042
2024-01-31:23,보통,40,보통,23,좋음,0.0034,보통,0.0535,좋음,0.72,좋음,0.0045
2024-01-31:22,보통,41,보통,23,좋음,0.0026,보통,0.0560,좋음,0.74,좋음,0.0044
2024-01-31:21,보통,46,보통,22,좋음,0.0027,보통,0.0581,좋음,0.76,좋음,0.0043
2024-01-31:20,보통,40,보통,19,좋음,0.0033,보통,0.0584,좋음,0.75,좋음,0.0039
2024-01-31:19,보통,33,보통,16,좋음,0.0064,보통,0.0587,좋음,0.60,좋음,0.0038
2024-01-31:18,좋음,22,좋음,14,좋음,0.0238,보통,0.0413,좋음,0.49,좋음,0.0031
2024-01-31:17,좋음,23,좋음,14,보통,0.0434,좋음,0.0223,좋음,0.36,좋음,0.0035
2024-01-31:16,좋음,15,좋음,9,보통,0.0459,좋음,0.0193,좋음,0.35,좋음,0.0031
2024-01-31:15,좋음,21,좋음,14,보통,0.0446,좋음,0.0184,좋음,0.36,좋음,0.0035
2024-01-31:14,좋음,27,보통,18,보통,0.0428,좋음,0.0190,좋음,0.38,좋음,0.0036
2024-01-31:13,보통,31,보통,25,보통,0.0355,좋음,0.0222,좋음,0.40,좋음,0.0039
2024-01-31:12,보통,40,보통,29,좋음,0.0248,좋음,0.0280,좋음,0.46,좋음,0.0039
2024-01-31:11,보통,48,나쁨,37,좋음,0.0096,보통,0.0323,좋음,0.53,좋음,0.0037
2024-01-31:10,보통,55,나쁨,38,좋음,0.0068,보통,0.0315,좋음,0.54,좋음,0.0034
2024-01-31:09,보통,67,나쁨,39,좋음,0.0032,보통,0.0397,좋음,0.72,좋음,0.0036
2024-01-31:08,보통,49,나쁨,37,좋음,0.0031,보통,0.0358,좋음,0.63,좋음,0.0035
2024-01-31:07,보통,44,나쁨,38,좋음,0.0028,보통,0.0372,좋음,0.58,좋음,0.0034
2024-01-31:06,보통,47,나쁨,36,좋음,0.0056,보통,0.0342,좋음,0.56,좋음,0.0034
2024-01-31:05,보통,52,나쁨,37,좋음,0.0071,보통,0.0343,좋음,0.55,좋음,0.0036
2024-01-31:04,보통,53,나쁨,40,좋음,0.0065,보통,0.0342,좋음,0.54,좋음,0.0037
2024-01-31:03,보통,57,나쁨,38,좋음,0.0054,보통,0.0413,좋음,0.57,좋음,0.0038
2024-01-31:02,보통,56,나쁨,37,좋음,0.0038,보통,0.0463,좋음,0.64,좋음,0.0038
2024-01-31:01,보통,60,나쁨,39,좋음,0.0032,보통,0.0505,좋음,0.71,좋음,0.0040
2024-01-30:24,보통,61,나쁨,39,좋음,0.0026,보통,0.0530,좋음,0.70,좋음,0.0040
2024-01-30:23,보통,56,보통,33,좋음,0.0031,보통,0.0568,좋음,0.70,좋음,0.0039
2024-01-30:22,보통,66,보통,30,좋음,0.0024,나쁨,0.0610,좋음,0.75,좋음,0.0042
2024-01-30:21,보통,50,보통,24,좋음,0.0071,나쁨,0.0607,좋음,0.79,좋음,0.0043
2024-01-30:20,보통,42,보통,24,좋음,0.0260,보통,0.0416,좋음,0.48,좋음,0.0041
2024-01-30:19,보통,38,보통,23,좋음,0.0136,보통,0.0586,좋음,0.57,좋음,0.0042
2024-01-30:18,보통,36,보통,23,보통,0.0387,보통,0.0326,좋음,0.48,좋음,0.0042
2024-01-30:17,보통,48,보통,33,보통,0.0367,보통,0.0356,좋음,0.46,좋음,0.0046
2024-01-30:16,보통,54,나쁨,37,보통,0.0341,보통,0.0346,좋음,0.48,좋음,0.0042
2024-01-30:15,보통,51,보통,34,보통,0.0370,좋음,0.0264,좋음,0.46,좋음,0.0037
2024-01-30:14,보통,42,보통,31,보통,0.0371,좋음,0.0222,좋음,0.45,좋음,0.0037
2024-01-30:13,보통,40,보통,28,보통,0.0380,좋음,0.0190,좋음,0.45,좋음,0.0032
2024-01-30:12,보통,47,보통,33,보통,0.0322,좋음,0.0198,좋음,0.50,좋음,0.0033
2024-01-30:11,보통,45,보통,30,좋음,0.0161,좋음,0.0280,좋음,0.56,좋음,0.0032
2024-01-30:10,보통,51,보통,27,좋음,0.0099,좋음,0.0288,좋음,0.62,좋음,0.0034
2024-01-30:09,보통,50,보통,27,좋음,0.0040,보통,0.0352,좋음,0.78,좋음,0.0035
2024-01-30:08,보통,47,보통,29,좋음,0.0027,보통,0.0363,좋음,0.76,좋음,0.0031
2024-01-30:07,보통,37,보통,24,좋음,0.0023,보통,0.0332,좋음,0.58,좋음,0.0030
2024-01-30:06,보통,33,보통,22,좋음,0.0023,보통,0.0334,좋음,0.49,좋음,0.0028
2024-01-30:05,보통,32,보통,22,좋음,0.0083,좋음,0.0249,좋음,0.46,좋음,0.0030
2024-01-30:04,보통,33,보통,24,좋음,0.0052,보통,0.0313,좋음,0.50,좋음,0.0026
2024-01-30:03,보통,34,보통,23,좋음,0.0057,보통,0.0316,좋음,0.48,좋음,0.0028
2024-01-30:02,보통,38,보통,25,좋음,0.0043,보통,0.0343,좋음,0.52,좋음,0.0029
2024-01-30:01,보통,42,보통,26,좋음,0.0031,보통,0.0399,좋음,0.56,좋음,0.0030
2024-01-29:24,보통,35,보통,19,좋음,0.0029,보통,0.0436,좋음,0.62,좋음,0.0029
2024-01-29:23,보통,33,보통,16,좋음,0.0025,보통,0.0460,좋음,0.64,좋음,0.0033
2024-01-29:22,보통,42,보통,19,좋음,0.0030,보통,0.0483,좋음,0.63,좋음,0.0033
2024-01-29:21,보통,42,보통,22,좋음,0.0026,보통,0.0516,좋음,0.77,좋음,0.0035
2024-01-29:20,보통,37,보통,18,좋음,0.0036,보통,0.0528,좋음,0.64,좋음,0.0034
2024-01-29:19,좋음,29,보통,16,좋음,0.0103,보통,0.0476,좋음,0.54,좋음,0.0032
2024-01-29:18,좋음,28,보통,21,보통,0.0318,좋음,0.0274,좋음,0.42,좋음,0.0035
2024-01-29:17,보통,33,보통,24,보통,0.0439,좋음,0.0166,좋음,0.39,좋음,0.0033
2024-01-29:16,보통,31,보통,21,보통,0.0467,좋음,0.0125,좋음,0.39,좋음,0.0035
2024-01-29:15,보통,33,보통,23,보통,0.0455,좋음,0.0116,좋음,0.38,좋음,0.0032
2024-01-29:14,보통,34,보통,23,보통,0.0392,좋음,0.0122,좋음,0.38,좋음,0.0028
2024-01-29:13,보통,34,보통,25,보통,0.0366,좋음,0.0115,좋음,0.38,좋음,0.0024
2024-01-29:12,보통,36,보통,22,보통,0.0334,좋음,0.0126,좋음,0.40,좋음,0.0027
2024-01-29:11,보통,38,보통,24,좋음,0.0256,좋음,0.0175,좋음,0.42,좋음,0.0030
2024-01-29:10,보통,41,보통,24,좋음,0.0120,좋음,0.0276,좋음,0.54,좋음,0.0031
2024-01-29:09,보통,48,보통,21,좋음,0.0069,좋음,0.0291,좋음,0.55,좋음,0.0031
2024-01-29:08,보통,56,보통,22,좋음,0.0031,보통,0.0353,좋음,0.62,좋음,0.0027
2024-01-29:07,보통,34,보통,19,좋음,0.0030,보통,0.0346,좋음,0.58,좋음,0.0027
2024-01-29:06,보통,34,보통,22,좋음,0.0093,좋음,0.0247,좋음,0.48,좋음,0.0024
2024-01-29:05,보통,31,보통,21,좋음,0.0078,좋음,0.0275,좋음,0.49,좋음,0.0027
2024-01-29:04,보통,32,보통,21,좋음,0.0102,좋음,0.0251,좋음,0.51,좋음,0.0028
2024-01-29:03,보통,34,보통,19,좋음,0.0107,좋음,0.0260,좋음,0.50,좋음,0.0027
2024-01-29:02,보통,31,보통,18,좋음,0.0100,좋음,0.0292,좋음,0.52,좋음,0.0029
2024-01-29:01,보통,32,보통,19,좋음,0.0070,보통,0.0346,좋음,0.58,좋음,0.0029
2024-01-28:24,보통,32,보통,17,좋음,0.0060,보통,0.0398,좋음,0.61,좋음,0.0031
2024-01-28:23,보통,39,보통,21,좋음,0.0054,보통,0.0451,좋음,0.69,좋음,0.0033
