tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-26:20,좋음,14,좋음,6,보통,0.0387,좋음,0.0127,좋음,0.32,좋음,0.0028
2024-02-26:19,좋음,13,좋음,8,보통,0.0385,좋음,0.0133,좋음,0.33,좋음,0.0025
2024-02-26:18,좋음,16,좋음,8,보통,0.0393,좋음,0.0128,좋음,0.33,좋음,0.0028
2024-02-26:17,좋음,9,좋음,6,보통,0.0402,좋음,0.0117,좋음,0.30,좋음,0.0024
2024-02-26:16,좋음,7,좋음,4,보통,0.0438,좋음,0.0089,좋음,0.27,좋음,0.0023
2024-02-26:15,좋음,4,,,보통,0.0448,좋음,0.0085,좋음,0.26,좋음,0.0022
2024-02-26:14,좋음,7,좋음,6,보통,0.0444,좋음,0.0071,좋음,0.26,좋음,0.0022
2024-02-26:13,좋음,8,,,보통,0.0422,좋음,0.0075,좋음,0.28,좋음,0.0026
2024-02-26:12,좋음,9,좋음,9,보통,0.0392,좋음,0.0085,좋음,0.28,좋음,0.0021
2024-02-26:11,좋음,11,좋음,9,보통,0.0320,좋음,0.0107,좋음,0.31,좋음,0.0022
2024-02-26:10,좋음,12,좋음,7,좋음,0.0250,좋음,0.0140,좋음,0.33,좋음,0.0021
2024-02-26:09,좋음,13,좋음,5,좋음,0.0190,좋음,0.0180,좋음,0.35,좋음,0.0025
2024-02-26:08,좋음,18,좋음,10,좋음,0.0044,보통,0.0333,좋음,0.51,좋음,0.0027
2024-02-26:07,좋음,12,좋음,7,좋음,0.0031,보통,0.0324,좋음,0.52,좋음,0.0024
2024-02-26:06,좋음,7,좋음,5,좋음,0.0051,보통,0.0334,좋음,0.37,좋음,0.0024
2024-02-26:05,좋음,8,좋음,6,좋음,0.0142,좋음,0.0251,좋음,0.33,좋음,0.0022
2024-02-26:04,좋음,5,,,좋음,0.0229,좋음,0.0157,좋음,0.33,좋음,0.0021
2024-02-26:03,좋음,5,좋음,5,좋음,0.0255,좋음,0.0129,좋음,0.34,좋음,0.0020
2024-02-26:02,좋음,6,좋음,6,좋음,0.0241,좋음,0.0126,좋음,0.34,좋음,0.0022
2024-02-26:01,좋음,9,좋음,7,좋음,0.0262,좋음,0.0135,좋음,0.34,좋음,0.0022
2024-02-25:24,좋음,6,,,좋음,0.0296,좋음,0.0125,좋음,0.34,좋음,0.0023
2024-02-25:23,좋음,4,,,좋음,0.0301,좋음,0.0146,좋음,0.37,좋음,0.0024
